code,stock,model,final_nav_mean,final_nav_std,final_nav_min,final_nav_max,total_return_mean,total_return_std,total_return_min,total_return_max,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,total_turnover_mean,total_turnover_std,total_turnover_min,total_turnover_max,average_turnover_mean,average_turnover_std,average_turnover_min,average_turnover_max,trade_count_mean,trade_count_std,trade_count_min,trade_count_max
sh.601628,China Life,Transaction-Cost-Aware R-PPO,1.2960777980000004,0.03538864325940544,1.2612014970000005,1.3319574450000005,0.2960777980000004,0.03538864325940544,0.2612014970000005,0.33195744500000046,1.2484123518195551,0.1597551901653565,1.0652654680414215,1.3590812121784628,-0.11300510842851463,0.014415912578698137,-0.12912716667731428,-0.10135549130276933,7.044923621118868,5.3906341797227215,0.885616231728275,10.903124823576979,0.029232048220410242,0.022367776679347393,0.0036747561482501035,0.04524118184056838,47.333333333333336,38.52704677669096,8,85
sh.601688,Huatai Securities,A2C (Daily),1.1672052993333335,0.006978218405697655,1.1610347530000003,1.1747782000000004,0.1672052993333335,0.0069782184056977154,0.16103475300000025,0.17477820000000044,0.9352121161503179,0.024350516757818318,0.9154696222776015,0.9624218497027884,-0.10664085351043488,0.005915542141245013,-0.11291166274438624,-0.10115995267977895,2.626961886457289,1.3774106560762118,1.584339646665642,4.18844811867372,0.010900256790279207,0.005715396913179304,0.006574023430147892,0.01737945277457975,32.333333333333336,17.616280348965084,18,52
sh.601688,Huatai Securities,Buy&Hold,1.30617391,,1.30617391,1.30617391,0.30617391000000005,,0.30617391000000005,0.30617391000000005,0.9402718501499302,,0.9402718501499302,0.9402718501499302,-0.19846940074009845,,-0.19846940074009845,-0.19846940074009845,,,,,,,,,0.0,,0,0
sh.601688,Huatai Securities,GARCH,0.8306490720000029,,0.8306490720000029,0.8306490720000029,-0.16935092799999707,,-0.16935092799999707,-0.16935092799999707,-2.063531773620424,,-2.063531773620424,-2.063531773620424,-0.17586129902703507,,-0.17586129902703507,-0.17586129902703507,,,,,,,,,0.0,,0,0
sh.601688,Huatai Securities,PPO (Daily),1.0859442683333345,0.024248595434303792,1.0583904490000007,1.104032171000001,0.08594426833333431,0.024248595434303823,0.05839044900000068,0.10403217100000095,0.600191999024085,0.13566842464367615,0.4491180673403161,0.7116235580452044,-0.11791759758249791,0.0033896267245041383,-0.12058663978686512,-0.11410381658773494,15.416784801114863,5.17598629251664,9.462560696522864,18.842500893229772,0.06397006141541438,0.02147712154571219,0.03926373732997039,0.07818465100925216,135.66666666666666,23.965252624024917,108,150
sh.601688,Huatai Securities,Transaction-Cost-Aware R-PPO,1.2191260936666668,0.08841743352189281,1.139758988,1.314426995,0.21912609366666672,0.08841743352189275,0.13975898800000008,0.31442699500000004,1.000765391043933,0.1402961670920833,0.9071183103489067,1.1620689851506236,-0.1408538464970102,0.052851824396720544,-0.198647985908585,-0.09498051603337698,1.1811561792163785,0.737903247959022,0.632361497938789,2.02001742631824,0.0049010629843003264,0.0030618392031494684,0.002623906630451407,0.00838181504696365,6.333333333333333,2.5166114784235836,4,9
sz.000963,Huadong Medicine,A2C (Daily),0.9322264083333335,0.016068261231139257,0.9158460130000002,0.947963195,-0.06777359166666648,0.016068261231139302,-0.08415398699999976,-0.052036804999999964,-0.2773341163629039,0.046186587503339115,-0.31005313493768333,-0.2245013259942757,-0.19018605804597907,0.024835248285220057,-0.2158136095700368,-0.16622728297709288,2.353287581712559,0.8988114680079864,1.5083640915380494,3.2977074446945025,0.009764678762292775,0.003729508166008242,0.006258772164058297,0.013683433380475113,30.666666666666668,15.50268793897798,15,46
sz.000963,Huadong Medicine,Buy&Hold,0.8569922870000001,,0.8569922870000001,0.8569922870000001,-0.14300771299999993,,-0.14300771299999993,-0.14300771299999993,-0.2224975789291771,,-0.2224975789291771,-0.2224975789291771,-0.3489416895068119,,-0.3489416895068119,-0.3489416895068119,,,,,,,,,0.0,,0,0
sz.000963,Huadong Medicine,GARCH,0.831734939000004,,0.831734939000004,0.831734939000004,-0.16826506099999605,,-0.16826506099999605,-0.16826506099999605,-0.365476140295372,,-0.365476140295372,-0.365476140295372,-0.3067104171056806,,-0.3067104171056806,-0.3067104171056806,,,,,,,,,0.0,,0,0
sz.000963,Huadong Medicine,PPO (Daily),0.7885037116666688,0.11091248756775471,0.6737385830000028,0.8951133400000013,-0.21149628833333126,0.11091248756775475,-0.3262614169999972,-0.10488665999999869,-0.9931432603313001,0.7238358690826663,-1.7831207756574,-0.36174382327736454,-0.27071847975311725,0.056386775425256705,-0.3343148954023518,-0.2268334865706938,44.75183755006024,16.93542652720984,25.470995138081786,57.21989178950032,0.18569227199195118,0.07027147936601594,0.10568877650656343,0.23742693688589345,186.33333333333334,20.404247923737184,164,204
