model,final_nav,total_return,sharpe,max_drawdown,total_turnover,average_turnover,trade_count,code,stock,seed,turnover_penalty,rebalance_threshold,drawdown_penalty
Buy&Hold,1.1131345950000002,0.11313459500000023,0.5057739250703788,-0.26427978128291385,,,0,sh.600887,Yili Group,,,,
Transaction-Cost-Aware R-PPO,1.0531033790000002,0.05310337900000017,0.3692202487982035,-0.14171502699686234,1.558259136393409,0.006465805545200868,19,sh.600585,Conch Cement,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.2957276680000003,0.2957276680000003,1.1519091490505278,-0.1619373688592003,3.9649507354844236,0.01645207774059927,19,sh.600585,Conch Cement,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0787505290000001,0.07875052900000012,0.5190869423002283,-0.12926407336509638,1.2730166861355316,0.005282226913425442,15,sh.600585,Conch Cement,2.0,0.005,0.05,0.0
PPO (Daily),0.9716596040000006,-0.02834039599999938,-0.11680631446460661,-0.11942857951980901,12.362115189762601,0.051295083774948555,124,sh.600585,Conch Cement,0.0,0.001,0.05,
PPO (Daily),1.0038014920000002,0.0038014920000002395,0.10055304988590542,-0.12137578440763563,12.489326963679147,0.05182293345924957,121,sh.600585,Conch Cement,1.0,0.001,0.05,
PPO (Daily),1.0287567490000007,0.028756749000000692,0.2677426663879459,-0.11596006628050626,17.23875625287944,0.07153010893310971,150,sh.600585,Conch Cement,2.0,0.001,0.05,
A2C (Daily),1.043721955,0.04372195500000009,0.3469003816092619,-0.12102690103948266,1.3133958905396135,0.005449775479417484,14,sh.600585,Conch Cement,0.0,0.001,0.05,
A2C (Daily),1.047870147,0.04787014700000003,0.3699014262842706,-0.12256862228689624,0.9870037072617758,0.004095451067476248,8,sh.600585,Conch Cement,1.0,0.001,0.05,
A2C (Daily),1.044114516,0.04411451600000005,0.3596275712556343,-0.11619542288158502,0.9133474138621145,0.00378982329403367,8,sh.600585,Conch Cement,2.0,0.001,0.05,
GARCH,1.0,0.0,,0.0,,,0,sh.600585,Conch Cement,,,,
Buy&Hold,1.0641938700000002,0.06419387000000021,0.3592842989897265,-0.22568344584041022,,,0,sh.600585,Conch Cement,,,,
